epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,773.847,0.46368,0.54698,1.0231,0.65865,0.84762,0.80802,0.70851,0.52932,0.74964,1.06825,0.0008516,0.0008516,0.0008516
60,786.88,0.48534,0.57293,1.04177,0.75125,0.7619,0.79686,0.70834,0.48871,0.75277,1.02019,0.0008318,0.0008318,0.0008318
61,800.045,0.44449,0.5338,1.02113,0.63758,0.86667,0.81142,0.7078,0.55317,0.76077,1.10166,0.000812,0.000812,0.000812
62,813.14,0.44823,0.52559,1.0214,0.71774,0.79918,0.81193,0.70963,0.52929,0.75437,1.09205,0.0007922,0.0007922,0.0007922
63,826.043,0.44429,0.49708,1.03933,0.72183,0.80952,0.83797,0.71642,0.53754,0.72384,1.07577,0.0007724,0.0007724,0.0007724
64,839.18,0.4466,0.54066,1.01034,0.74297,0.69524,0.78882,0.70192,0.51247,0.811,1.04948,0.0007526,0.0007526,0.0007526
65,852.178,0.41864,0.51702,1.01251,0.71596,0.80952,0.82715,0.73027,0.48594,0.7502,1.04061,0.0007328,0.0007328,0.0007328
66,865.243,0.40731,0.45793,1.002,0.71461,0.8,0.82917,0.7169,0.49117,0.71814,1.01284,0.000713,0.000713,0.000713
67,877.981,0.43885,0.49591,1.02559,0.74426,0.74838,0.79885,0.71219,0.48774,0.79261,1.02255,0.0006932,0.0006932,0.0006932
68,891.143,0.43771,0.49323,1.01905,0.7729,0.78095,0.82105,0.72311,0.54027,0.72927,1.08578,0.0006734,0.0006734,0.0006734
69,904.434,0.42664,0.49301,1.01469,0.76478,0.78095,0.83437,0.74501,0.51066,0.672,1.0787,0.0006536,0.0006536,0.0006536
70,918.024,0.4177,0.47426,0.99866,0.82123,0.74378,0.81784,0.72561,0.53134,0.70218,1.07167,0.0006338,0.0006338,0.0006338
71,930.093,0.4148,0.48021,1.00289,0.80588,0.77143,0.82112,0.73304,0.49943,0.73202,1.04438,0.000614,0.000614,0.000614
72,942.038,0.41795,0.47965,1.01188,0.78484,0.76431,0.81456,0.72445,0.49567,0.74725,1.05664,0.0005942,0.0005942,0.0005942
73,953.524,0.38631,0.47532,0.98845,0.73162,0.75291,0.81937,0.71302,0.54821,0.76523,1.11866,0.0005744,0.0005744,0.0005744
74,965.3,0.38563,0.44683,0.97494,0.70236,0.79048,0.8075,0.71008,0.53362,0.74871,1.08676,0.0005546,0.0005546,0.0005546
75,977.025,0.43285,0.49023,1.01802,0.8205,0.74011,0.82205,0.72747,0.49679,0.70113,1.04463,0.0005348,0.0005348,0.0005348
76,989.65,0.4048,0.44235,0.99696,0.74837,0.79312,0.82588,0.72408,0.49382,0.74176,1.05968,0.000515,0.000515,0.000515
77,1002.44,0.39719,0.48495,1.00477,0.72073,0.80952,0.82362,0.7352,0.4921,0.73702,1.04063,0.0004952,0.0004952,0.0004952
78,1015.19,0.41464,0.44812,0.99542,0.86854,0.61905,0.81652,0.71242,0.52941,0.74117,1.06559,0.0004754,0.0004754,0.0004754
79,1028.77,0.36654,0.43229,0.97552,0.77651,0.79419,0.8456,0.7315,0.51415,0.70682,1.0612,0.0004556,0.0004556,0.0004556
80,1041.7,0.36128,0.443,0.96399,0.76597,0.80952,0.85092,0.73022,0.51232,0.70284,1.06682,0.0004358,0.0004358,0.0004358
81,1055.22,0.36428,0.45311,0.96956,0.76199,0.76226,0.83262,0.73731,0.49841,0.7187,1.05353,0.000416,0.000416,0.000416
82,1068.59,0.37579,0.42713,0.98741,0.82819,0.79048,0.83002,0.73362,0.47494,0.71857,1.02078,0.0003962,0.0003962,0.0003962
83,1083.39,0.361,0.40773,0.9802,0.74626,0.75631,0.81711,0.7338,0.45074,0.74665,0.99934,0.0003764,0.0003764,0.0003764
84,1095.81,0.37631,0.42271,0.99587,0.80859,0.73333,0.82817,0.73103,0.46235,0.74071,1.00122,0.0003566,0.0003566,0.0003566
85,1107.99,0.3635,0.42053,0.97723,0.83235,0.70928,0.83185,0.73001,0.45341,0.72527,1.00228,0.0003368,0.0003368,0.0003368
86,1121.52,0.35466,0.41049,0.97031,0.79102,0.75238,0.83198,0.73773,0.4584,0.69353,1.01612,0.000317,0.000317,0.000317
87,1135.04,0.35325,0.41565,0.97043,0.78457,0.8,0.84125,0.73508,0.46525,0.65711,1.02347,0.0002972,0.0002972,0.0002972
88,1147.23,0.33258,0.39394,0.96124,0.78217,0.77143,0.84004,0.72746,0.47028,0.71701,1.01195,0.0002774,0.0002774,0.0002774
89,1159.31,0.34791,0.41141,0.97398,0.76469,0.80469,0.83974,0.73166,0.47852,0.71201,1.01586,0.0002576,0.0002576,0.0002576
90,1173.98,0.33986,0.39342,0.96722,0.73708,0.8381,0.84473,0.74294,0.48675,0.69565,1.04525,0.0002378,0.0002378,0.0002378
91,1188.29,0.29771,0.48556,0.92961,0.83367,0.76378,0.84129,0.72073,0.50507,0.72101,1.06957,0.000218,0.000218,0.000218
92,1202.43,0.27101,0.35618,0.89606,0.8368,0.73248,0.83549,0.7367,0.49485,0.76007,1.0659,0.0001982,0.0001982,0.0001982
93,1216.39,0.28552,0.33448,0.92137,0.80396,0.7421,0.84665,0.74465,0.48693,0.67694,1.06947,0.0001784,0.0001784,0.0001784
94,1230.25,0.285,0.35464,0.9243,0.75064,0.80275,0.84091,0.75016,0.47497,0.65214,1.0582,0.0001586,0.0001586,0.0001586
95,1244.48,0.26462,0.30726,0.899,0.76143,0.79032,0.83306,0.74869,0.45651,0.67277,1.03237,0.0001388,0.0001388,0.0001388
96,1257.89,0.24949,0.29954,0.87959,0.76825,0.7619,0.83985,0.75496,0.44497,0.64975,1.01723,0.000119,0.000119,0.000119
97,1271.07,0.24673,0.30091,0.89911,0.83691,0.71429,0.84307,0.75388,0.44243,0.6655,1.01143,9.92e-05,9.92e-05,9.92e-05
98,1284.55,0.23466,0.28542,0.88598,0.73644,0.8,0.83303,0.7474,0.44737,0.69371,1.00961,7.94e-05,7.94e-05,7.94e-05
99,1298.45,0.24377,0.28692,0.89185,0.74483,0.80622,0.83579,0.74935,0.44421,0.6856,1.00962,5.96e-05,5.96e-05,5.96e-05
100,1311.78,0.25135,0.27977,0.91547,0.73879,0.80811,0.83269,0.74492,0.44137,0.67965,1.00468,3.98e-05,3.98e-05,3.98e-05
